phone_brand,phone_model,price_usd,storage,ram,y_hat,a,b,chunk
apple,Apple iPhone 15 Pro Max,1261.82,1000,8,527.2180565383327,2269.6384297006516,-1816.6315313453733,21.0
apple,Apple iPhone 15 Pro,1204.62,1000,8,509.88298582439006,2212.240706548996,-1734.2811774177485,21.0
samsung,Samsung Galaxy S24 Ultra,1239.84,1000,12,582.8599042533018,2247.5824514685996,-1784.9871121263316,21.0
samsung,Samsung Galaxy S24 Ultra,1219.99,1000,12,576.8441498184809,2227.6638360042575,-1756.4092358070423,21.0
xiaomi,Xiaomi 13T Pro,1199.0,1000,16,632.786027603499,2206.6012799036766,-1726.1901111752095,21.0
apple,Apple iPhone 16 Pro,1683.76,512,8,655.091478514573,2203.350080200681,-2424.094963796806,21.0
apple,Apple iPhone 15 Pro Max,1204.17,1000,8,509.7466085198224,2211.7891510346913,-1733.6333162417445,21.0
apple,Apple iPhone 15 Pro,1246.85,1000,8,522.6812382063796,2254.6166829247722,-1795.079349556972,21.0
motorola,Motorola Edge 40 Pro,1676.84,512,12,715.2974200224088,2196.4061598473686,-2414.132298601366,21.0
