phone_brand,phone_model,price_usd,storage,ram,y_hat,a,b,chunk
apple,Apple iPhone 16 Pro,1705.32,1000,8,661.6254667067515,2714.6714754656723,-2455.134712584911,26.0
samsung,Samsung Galaxy Z Fold4,1719.99,1000,12,728.3744882270701,2729.3921852320145,-2476.2549869226423,26.0
google,Google Pixel 9 Pro Fold,2267.05,512,16,956.4699834780864,2788.6563378427986,-3263.8526201332434,26.0
google,Google Pixel 9 Pro XL,1709.69,1000,16,787.5560846472638,2719.0565812379236,-2461.426164449662,26.0
honor,Honor Magic V3,2189.28,512,12,870.5978332506038,2710.617510403913,-3151.887812004723,26.0
