phone_brand,phone_model,price_usd,storage,ram,y_hat,a,b,chunk
google,Google Pixel 9 Pro,1435.32,1000,16,704.4053267489345,2443.738166882684,-2066.418006982486,23.0
samsung,Samsung Galaxy Z Fold6,1476.36,1000,12,654.5398155341009,2484.920029787298,-2125.5029462340553,23.0
xiaomi,Xiaomi 13T Pro,1460.38,1000,16,712.0000273099731,2468.884791745979,-2102.496676028401,23.0
apple,Apple iPhone 16 Pro Max,1399.99,1000,8,569.0919502541624,2408.2860417262505,-2015.5537062086587,23.0
apple,Apple iPhone 15 Pro Max,1399.99,1000,8,569.0919502541624,2408.2860417262505,-2015.5537062086587,23.0
samsung,Samsung Galaxy Z Fold6,1899.99,512,12,782.9254100541622,2420.327522107717,-2735.3994573242585,23.0
samsung,Samsung Galaxy Z Fold6,1899.99,512,12,782.9254100541622,2420.327522107717,-2735.3994573242585,23.0
huawei,Huawei Pura 70 Ultra,1440.0,1000,16,705.8236507164389,2448.4343442314553,-2073.155763212929,23.0
